year,site,visacres_avg,hicount,bdrat_hi,fdrat_hi,Density_acres_per_deer,Buck_to_Doe_Ratio,Fawn_to_Doe_Ratio,skunk,pig,racoon,armadillo,bat,cottontail,screech_owl,great_horned_owl,gray fox,barred_owl,gulf_coast_toad,chuck_widow,feral_cat,fox_species_unknown,opposum,ringtail_cat,night_jar,coyote
2008,WOLTERS,528,10.78,0.235294118,0.705882353,10.67,0.186046512,0.558139535,,,,,,,,,,,,,,,,,,
2009,WOLTERS,443.41,12.32,0.111111111,0.111111111,14.44,0.145454545,0.345454545,,,,,,,,,,,,,,,,,,
2010,WOLTERS,424.43,9.23,0.217391304,0.304347826,12.51,0.6875,0.9375,,,,,,,,,,,,,,,,,,
2011,WOLTERS,424.43,5.24,0.6,0.68,6.26,0.484848485,0.681818182,,,,,,,,,,,,,,,,,,
2012,WOLTERS,495.48,6.79,0.615384615,0.576923077,8.4,0.492063492,0.365079365,,,,,,,,,,,,,,,,,,
2013,WOLTERS,495.48,8.85,0.541666667,0.166666667,10.4,0.298507463,0.149253731,,,,,,,,,,,,,,,,,,
2014,WOLTERS,410.2,9.32,0.25,0.35,10,0.196078431,0.333333333,0,1,3,1,0,12,0,0,1,1,0,0,1,0,0,0,0,6
2015,WOLTERS,489.4,14.39,0.1875,0.125,19.84,0.166666667,0.166666667,,,,,,,,,,,,,,,,,,
2016,WOLTERS,489.4,16.31,0.727272727,0.181818182,17.32,0.652173913,0.130434783,,,,,,,,,,,,,,,,,,
2017,WOLTERS,287.49,11.06,0.384615385,0.230769231,14.14,0.357142857,0.178571429,,,,,,,,,,,,,,,,,,
2018,WOLTERS,476.4,14.44,0.266666667,0.2,19.06,0.275862069,0.172413793,,,,,,,,,,,,,,,,,,
2019,WOLTERS,505.67,24.08,0.111111111,0.111111111,41,0.095238095,0.047619048,,,,,,,,,,,,,,,,,,
2020,WOLTERS,454.5,19.76,0.3125,0.3125,21.99,0.413793103,0.310344828,,,,,,,,,,,,,,,,,,
2021,WOLTERS,443.85,17.07,0.285714286,0.285714286,24.66,0.225806452,0.193548387,,,,,,,,,,,,,,,,,,
2022,WOLTERS,768,,,,25.6,0.25,0.041666667,,,,,,,,,,,,,,,,,,
2008,SWIFT,355,28.17,0.75,0.25,39.44,0.545454545,0.545454545,0,57,1,2,0,4,0,0,0,0,0,0,1,0,0,0,0,1
2009,SWIFT,416,34.67,1,0.2,49.83,1.125,0.125,2,0,2,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0
2010,SWIFT,413,31.77,0.666666667,0.5,42.68,0.727272727,0.545454545,0,11,3,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
2011,SWIFT,412.55,68.76,2.5,0,77.35,2.25,0,1,4,2,1,0,10,0,0,0,1,0,0,0,1,1,1,1,2
2012,SWIFT,412.55,45.84,0.5,0.5,77.35,0.571428571,0.428571429,,,,,,,,,,,,,,,,,,
2013,SWIFT,443.75,11.99,1.083333333,0.25,15.85,1.217391304,0.217391304,2,14,3,2,0,12,0,2,0,2,0,0,0,1,1,0,0,7
2014,SWIFT,443.74,40.34,1.25,1,45.9,0.196078431,0.294117647,,,,,,,,,,,,,,,,,,
2015,SWIFT,443.74,24.65,1,0.6,27.17,1.125,0.5,,,,,,,,,,,,,,,,,,
2016,SWIFT,443.74,26.1,1.5,0.5,36.98,2,0.333333333,,,,,,,,,,,,,,,,,,
